Sample_ID	line	fraction	batch	fqlines	reads	mapped	Mapped_noMP	prop_MappedwithoutMP	Sex	Wake_Up	Collection	count1	count2	alive1	alive2	alive_avg	undiluted_avg	Extraction	Conentration	ratio260_280	to_use	h20	threeprime_start	Cq	cycles	library_conc
18486_N	NA18486	nuclear	1	64606448	16151612	12466070	6280776		M	7/11/17	7/24/17	0.33	0.22	NA	NA	94	1.375	7.25.17	93	2.03	10	0	5.1.18	19.27	20	15.2
18486_T	NA18486	total	1	62676016	15669004	11767604	8825474		M	7/11/17	7/24/17	0.33	0.22	NA	NA	94	1.375	7.25.17	1144.2	2.09	0.87	9.13	5.1.18	20.94	22	8.36
18499_N	NA18499	nuclear	1	72662600	18165650	15120765	5948884		M	12/4/17	1/8/18	0.319	0.314	NA	NA	85	1.5825	1.12.18	139.8	2.12	7.15	2.85	5.1.18	16.14	18	20.5
18499_T	NA18499	total	1	68141272	17035318	15032955	11812199		M	12/4/17	1/8/18	0.319	0.314	NA	NA	85	1.5825	1.12.18	921.5	2.11	1.09	8.91	5.1.18	19.43	20	11.5
18501_N	NA18501	nuclear	1	73071112	18267778	15839433	8868444		M	12/4/17	1/29/18	0.242	0.292	NA	NA	75.5	1.335	2.28.18	264.3	2.07	3.78	6.22	5.1.18	18.77	20	20.8
18501_T	NA18501	total	1	73915916	18478979	15187929	10994289		M	12/4/17	1/29/18	0.242	0.292	NA	NA	75.5	1.335	2.28.18	1135.3	2.1	0.88	9.12	5.1.18	20.46	22	19.4
18505_N	NA18505	nuclear	1	66446476	16611619	13147401	6823577		F	6/20/17	7/14/17	0.262	0.267	NA	NA	97	1.3225	7.18.17	123.9	1.98	8.07	1.93	5.1.18	17.73	18	13.3
18505_T	NA18505	total	1	58062876	14515719	12041176	9081694		F	6/20/17	7/14/17	0.262	0.267	NA	NA	97	1.3225	7.18.17	1332.8	2.05	0.75	9.25	5.1.18	19.74	20	10
18508_N	NA18508	nuclear	1	61369728	15342432	13331520	7668076		F	4/24/17	5/9/17	0.217	0.206	NA	NA	94	1.0575	5.10.17	153.1	2.09	6.53	3.47	5.1.18	17.81	18	14.1
18508_T	NA18508	total	1	63799936	15949984	12760208	9302627		F	4/24/17	5/9/17	0.217	0.206	NA	NA	94	1.0575	5.10.17	1452.7	2.09	0.69	9.31	5.1.18	19.12	20	9.11
18853_N	NA18853	nuclear	1	62230784	15557696	11965940	5449106		M	12/4/17	1/29/18	0.446	0.369	NA	NA	90	2.0375	2.28.18	214.3	2.1	4.67	5.33	5.1.18	15.72	18	21
18853_T	NA18853	total	1	90897000	22724250	18374471	11441610		M	12/4/17	1/29/18	0.446	0.369	NA	NA	90	2.0375	2.28.18	1269.7	2.07	0.79	9.21	5.1.18	19.16	20	11.1
18870_N	NA18870	nuclear	1	71849884	17962471	14858049	6507237		F	12/4/17	1/29/18	0.27	0.204	NA	NA	76.5	1.185	2.28.18	197.8	2.1	5.06	4.94	5.1.18	18.03	20	25.7
18870_T	NA18870	total	1	69395636	17348909	14086671	9623982		F	12/4/17	1/29/18	0.27	0.204	NA	NA	76.5	1.185	2.28.18	1389.1	2.06	0.72	9.28	5.1.18	20.23	22	17.8
19128_N	NA19128	nuclear	1	71830000	17957500	13877727	7331480		M	6/5/17	6/27/17	0.228	0.173	NA	NA	90	1.0025	7.10.17	145	2.05	6.9	3.1	5.1.18	17.03	18	17.5
19128_T	NA19128	total	1	66738592	16684648	14336523	11180490		M	6/5/17	6/27/17	0.228	0.173	NA	NA	90	1.0025	7.10.17	1685.1	2.09	0.59	9.41	5.1.18	19.32	20	10.5
19141_N	NA19141	nuclear	1	74525648	18631412	14307502	6439458		M	4/24/17	5/9/17	0.245	0.256	NA	NA	94	1.2525	5.10.17	151.9	2.09	6.58	3.42	5.1.18	18.7	20	18.8
19141_T	NA19141	total	1	64457664	16114416	13344518	9832916		M	4/24/17	5/9/17	0.245	0.256	NA	NA	94	1.2525	5.10.17	1028.3	2.07	0.97	9.03	5.1.18	19.3	20	4.89
19193_N	NA19193	nuclear	1	69959956	17489989	15696364	7796928		F	5/16/17	5/30/17	0.201	0.245	NA	NA	93	1.115	6.19.17	210.2	2.09	4.76	5.24	5.1.18	18.02	20	12.5
19193_T	NA19193	total	1	68546808	17136702	13036041	9808420		F	5/16/17	5/30/17	0.201	0.245	NA	NA	93	1.115	6.19.17	1253.5	2.1	0.8	9.2	5.1.18	20.33	22	11.9
19209_N	NA19209	nuclear	1	67501768	16875442	15302111	6511317		F	12/4/17	1/8/18	0.248	0.264	NA	NA	76	1.28	1.12.18	149.5	2.1	6.69	3.31	5.1.18	17.26	18	24
19209_T	NA19209	total	1	75804560	18951140	14895406	10104080		F	12/4/17	1/8/18	0.248	0.264	NA	NA	76	1.28	1.12.18	942.8	2.1	1.06	8.94	5.1.18	20.18	22	13
19223_N	NA19223	nuclear	1	71844976	17961244	15090082	6778923		M	6/20/17	7/14/17	0.184	0.217	NA	NA	99	1.0025	7.18.17	91	2.03	10	0	5.1.18	17.06	18	24.1
19223_T	NA19223	total	1	61530312	15382578	12763298	9236975		M	6/20/17	7/14/17	0.184	0.217	NA	NA	99	1.0025	7.18.17	767.9	2.06	1.3	8.7	5.1.18	20.14	22	15.9
19225_N	NA19225	nuclear	1	84636044	21159011	18812433	8428727		F	1/10/18	2/22/18	0.204	0.275	NA	NA	72.5	1.1975	2.28.18	39.1	1.82	10	0	5.1.18	19.85	20	15.8
19225_T	NA19225	total	1	63133024	15783256	13921199	10071283		F	1/10/18	2/22/18	0.204	0.275	NA	NA	72.5	1.1975	2.28.18	666.1	2.11	1.5	8.5	5.1.18	19.63	20	12
19238_N	NA19238	nuclear	1	68671940	17167985	13169802	6517304		F	6/5/17	6/27/17	0.184	0.156	NA	NA	92.5	0.85	7.10.17	91.4	2	10	0	5.1.18	16.53	18	25.8
19238_T	NA19238	total	1	67545864	16886466	14607833	10809346		F	6/5/17	6/27/17	0.184	0.156	NA	NA	92.5	0.85	7.10.17	1262.3	2.07	0.79	9.21	5.1.18	19.81	20	12.2
19239_N	NA19239	nuclear	1	74279260	18569815	15611494	7975939		M	5/16/17	5/30/17	0.351	0.318	NA	NA	95	1.6725	6.19.17	100.4	2.04	9.96	0.04	5.1.18	18.52	20	20.3
19239_T	NA19239	total	1	66117608	16529402	11922644	8985983		M	5/16/17	5/30/17	0.351	0.318	NA	NA	95	1.6725	6.19.17	983.3	2.09	1.02	8.98	5.1.18	20.31	22	11
19257_N	NA19257	nuclear	1	64422736	16105684	14365676	6340986		F	7/11/17	7/24/17	0.295	0.323	NA	NA	93	1.545	7.25.17	65.9	1.94	10	0	5.1.18	19.07	20	13.6
